LABELS
SEPARATOR TAB
DATA
N2	k__Archaea
N3	k__Bacteria
N12	p__Candidatus Acetothermia
N25	p__Euryarchaeota_1; c__Thermococci; o__Thermococcales
N27	p__Euryarchaeota_2; c__Thermoplasmata
N39	f__Thermococcaceae
N43	o__Methanomassiliicoccales
N45	p__Euryarchaeota
N48	p__Chloroflexi
N55	p__Spirochaetes; c__Spirochaetia
N59	g__Thermococcus_1
N63	p__Euryarchaeota_4
N65	o__; f__; g__Aciduliprofundum
N66	o__Thermoplasmatales
N69	p__Candidatus Micrarchaeota
N70	p__Euryarchaeota_3; c__; o__Candidatus Altiarchaeales
N78	p__candidate division WWE3
N87	o__
N97	g__Pyrococcus
N100	p__Candidatus Thorarchaeota
N101	c__Hadesarchaea
N113	c__Anaerolineae
N114	c__Ktedonobacteria
N123	p__Candidatus Berkelbacteria
N127	p__Deinococcus-Thermus
N130	p__Actinobacteria
N133	f__Leptospiraceae
N134	o__Brachyspirales; f__Brachyspiraceae
N135	o__Spirochaetales
N146	g__Thermococcus
N155	f__Methanomassiliicoccaceae
N158	c__Halobacteria
N160	c__Methanomicrobia
N162	c__Chloroflexia
N165	o__Thermogemmatisporales; f__Thermogemmatisporaceae; g__Thermogemmatispora
N166	o__Ktedonobacterales; f__Ktedonobacteraceae; g__Ktedonobacter
N173	p__candidate division CPR3
N174	p__Candidatus Woykebacteria
N177	p__Candidatus Saccharibacteria
N178	p__Candidatus Peregrinibacteria
N181	p__candidate division CPR2
N182	p__Candidatus Doudnabacteria
N184	p__Candidatus Andersenbacteria
N186	c__Deinococci
N192	p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales
N194	p__Firmicutes_5; c__Clostridia_4
N199	f__Borreliaceae
N210	s__Thermococcus barophilus
N217	p__Candidatus Bathyarchaeota
N219	p__Candidatus Verstraetearchaeota; c__Candidatus Methanomethylia; o__Candidatus Methanomethyliales; f__Candidatus Methanomethyliaceae
N220	p__Crenarchaeota
N223	f__Thermoplasmataceae; g__Thermoplasma
N227	g__Methanomassiliicoccus
N230	c__Methanococci; o__Methanococcales
N231	c__Methanobacteria; o__Methanobacteriales
N232	o__Halobacteriales_1; f__Halobacteriaceae
N235	c__Archaeoglobi; o__Archaeoglobales
N236	o__Methanomicrobiales
N239	o__Herpetosiphonales; f__Herpetosiphonaceae
N240	o__Chloroflexales
N263	c__Candidatus Peribacteria
N272	p__Candidatus Moranbacteria
N274	o__Thermales; f__Thermaceae
N275	o__Deinococcales; f__Deinococcaceae
N281	f__Leptotrichiaceae
N282	f__Fusobacteriaceae
N286	o__Halanaerobiales
N287	p__Firmicutes_3
N289	g__Leptonema; s__Leptonema illini
N290	g__Leptospira
N292	g__Brachyspira
N293	g__Borrelia
N294	g__Borreliella
N295	f__Spirochaetaceae_1
N296	f__Spirochaetaceae
N298	p__Elusimicrobia
N308	s__Thermococcus sibiricus
N312	s__Pyrococcus furiosus
N320	g__Candidatus Methanomethylicus
N322	c__Thermoprotei
N324	f__Ferroplasmaceae
N328	f__Methanocaldococcaceae; g__Methanocaldococcus
N330	f__Methanobacteriaceae
N335	f__Archaeoglobaceae
N338	o__Methanosarcinales_1; f__; g__Candidatus Syntrophoarchaeum
N340	c__Thermomicrobia; o__Sphaerobacterales
N341	g__Herpetosiphon
N342	f__Roseiflexaceae
N343	f__Chloroflexaceae
N355	p__Candidatus Curtissbacteria
N356	p__Candidatus Daviesbacteria
N384	g__Deinococcus
N385	p__Candidatus Fervidibacteria
N389	p__Cyanobacteria
N391	c__Coriobacteriia
N392	c__Thermoleophilia; o__Solirubrobacterales; f__Conexibacteraceae; g__Conexibacter; s__Conexibacter woesei
N397	g__Fusobacterium
N398	p__Candidatus Atribacteria
N399	p__Synergistetes; c__Synergistia; o__Synergistales
N400	p__Dictyoglomi; c__Dictyoglomia; o__Dictyoglomales; f__Dictyoglomaceae
N404	f__Halobacteroidaceae; g__Fuchsiella
N405	f__Halanaerobiaceae
N406	c__Clostridia_9; o__Clostridiales_7; f__Clostridiales Family XVII. Incertae Sedis
N408	p__Firmicutes_1
N419	g__Spirochaeta
N421	p__Candidatus Aerophobetes
N437	s__Thermococcus thioreducens
N445	p__Thaumarchaeota
N446	s__Candidatus Methanomethylicus mesodigestum
N448	o__Thermoproteales
N450	g__Acidiplasma
N455	f__Methanocaldococcaceae_1; g__Methanotorris
N456	f__Methanococcaceae
N459	g__Halobacterium
N460	o__Haloferacales
N461	o__Halobacteriales
N463	g__Archaeoglobus
N465	f__Methanocorpusculaceae
N468	o__Methanocellales; f__Methanocellaceae; g__Methanocella
N469	o__Methanosarcinales
N470	f__Sphaerobacteraceae
N472	g__Roseiflexus
N473	g__Chloroflexus
N489	p__Candidatus Shapirobacteria
N516	g__Meiothermus
N517	g__Thermus
N520	p__Armatimonadetes; c__Chthonomonadetes; o__Chthonomonadales; f__Chthonomonadaceae; g__Chthonomonas
N525	c__Gloeobacteria; o__Gloeobacterales; f__Gloeobacteraceae; g__Gloeobacter
N526	c__
N532	g__Leptotrichia
N534	g__Streptobacillus
N539	f__Synergistaceae
N540	g__Dictyoglomus
N542	p__Thermotogae; c__Thermotogae
N547	g__Halothermothrix
N550	c__Clostridia_2
N551	c__Negativicutes
N552	c__Clostridia_7; o__Thermoanaerobacterales_2; f__Thermoanaerobacteraceae_1
N562	s__Borreliella burgdorferi
N565	g__Sphaerochaeta
N566	s__Spirochaeta thermophila
N569	g__Treponema
