1
1
1
	P_Value
y0	0.162476177
y1	0.396092375
y2	0.08159100400000001
y3	0.22696513199999999
y4	0.294833856
y5	0.591796842
y6	0.421413673
y7	0.302077256
y8	0.34405332899999996
y9	0.278510547
y10	0.005893508
y11	0.019909565
y12	0.7082491790000001
y13	0.272044943
y14	0.49575383
y15	0.953244141
y16	0.735772668
y17	0.140698887
y18	0.18828013600000001
y19	0.546584647
y20	0.11612026
y21	0.785835342
y22	0.541212633
y23	0.24955263
y24	0.9767557309999999
y25	0.161995269
y26	0.21601190399999998
y27	0.320215833
y28	0.296719578
y29	0.29102729899999996
y30	0.08598434199999999
y31	0.501166323
y32	0.605400585
y33	0.93396547
y34	0.210376499
y35	0.26217312
y36	0.189033796
y37	0.179654449
y38	0.001035492
y39	0.017464565
y40	0.8865555340000001
y41	0.595588463
y42	0.49468616299999996
y43	0.46154079600000003
y44	0.574413101
y45	0.187376108
y46	0.392006377
y47	0.167084872
y48	0.551271241
y49	0.555535066
y50	0.008517326
y51	0.9654577440000001
y52	0.354303185
y53	0.048631775
y54	0.966075786
y55	0.984701142
y56	0.061880767
y57	0.669879816
y58	0.7790369109999999
y59	0.689072975
y60	0.246040855
y61	0.007987129
y62	0.081295203
y63	0.936660705
y64	0.120148879
y65	0.187262906
y66	0.671595005
y67	0.016668238000000002
y68	0.10663692
y69	0.017098238999999998
y70	0.25915114
y71	0.284486077
y72	0.035436743
y73	0.608870001
y74	0.032914231
y75	0.354623731
y76	0.9216125890000001
y77	0.0016070210000000001
y78	0.036110402
y79	0.266815333
y80	0.12851321300000002
y81	0.073778015
y82	0.287116449
y83	0.498886454
y84	0.132545274
y85	0.20464493600000003
y86	0.172709515
y87	0.120969181
y88	0.577786233
y89	0.070903728
y90	0.010950863
y91	0.438300036
y92	0.153871255
y93	0.06663322299999999
y94	0.509024684
y95	0.205957267
y96	0.02461746
y97	0.49138440200000005
y98	0.6256450170000001
y99	0.0026882570000000003
y100	0.046082295
y101	0.397218264
y102	0.9460195459999999
y103	0.23695292399999998
y104	0.015221523
y105	0.086028295
y106	0.7637929
y107	0.396277064
y108	0.47532557799999997
y109	0.864027346
y110	0.117981856
y111	0.089415243
y112	0.281505663
y113	0.216497391
y114	0.49711468600000003
y115	0.273166146
y116	0.550761689
y117	0.983096731
y118	0.401870461
y119	0.26374195
y120	0.08886563300000001
y121	0.500338846
y122	0.063818124
y123	0.043791537
y124	0.45805231
y125	0.134840674
y126	0.274062612
y127	0.40967081299999997
y128	0.753747368
y129	0.127447144
y130	0.491578235
y131	0.499970993
y132	0.154269232
y133	0.753529817
y134	0.7191120559999999
y135	0.00039171
y136	0.862398178
y137	0.14845535099999999
y138	0.000503535
y139	0.8294017770000001
y140	0.453904895
y141	0.500235268
y142	0.052472825
y143	0.160130464
y144	0.707864851
y145	0.078846961
y146	0.04254984
y147	0.878918896
y148	0.565848537
y149	0.048436502
y150	0.6711945709999999
y151	0.012900163000000001
y152	0.928150983
y153	0.8698247490000001
y154	0.075831705
y155	0.213356099
y156	0.043648343
y157	0.145088437
y158	0.0851865
y159	0.22287321300000001
y160	0.046550823
y161	0.8909890490000001
y162	0.854276996
y163	0.676053743
y164	0.052281756
y165	0.5651708679999999
y166	0.356199847
y167	0.017162456
y168	0.00277371
y169	0.261480106
y170	0.074256318
y171	0.245742485
y172	0.14529377400000001
y173	0.08430402199999999
y174	0.043283192000000005
y175	0.005122125
y176	0.794083555
y177	0.8308751129999999
y178	0.919811927
y179	0.17306476699999998
y180	0.084061113
y181	0.33493279800000003
y182	0.180069373
y183	0.159211685
y184	0.07048454700000001
y185	0.369032305
y186	0.017405055
y187	0.180572343
y188	0.633689437
y189	0.350407842
y190	0.7593293790000001
y191	0.654274981
y192	0.936226346
y193	0.8502219120000001
y194	0.004954272
y195	0.163106995
y196	0.129954061
y197	0.159755747
y198	0.017919348
y199	0.154404538
y200	0.007485328
y201	0.000524775
y202	0.302107578
y203	0.061169692000000005
y204	0.72412541
y205	0.113877514
y206	0.68942761
y207	0.650580639
y208	0.016680966999999998
y209	0.104757896
y210	0.052153784
y211	0.039512616
y212	0.68453621
y213	0.93442639
y214	0.05230332099999999
y215	0.279422995
y216	0.218945374
y217	0.9043429159999999
y218	0.331800625
y219	0.029552055
y220	0.23705912899999998
y221	0.9708458059999999
y222	0.579626544
y223	0.755961882
y224	0.009584546999999999
y225	0.37801796299999996
y226	0.689312575
y227	0.11231613800000001
y228	0.665993312
y229	0.96312212
y230	0.064128356
y231	0.150808856
y232	0.987142788
y233	0.8565265009999999
y234	0.20665125
y235	0.21583295
y236	0.40321471600000003
y237	0.100395322
y238	0.030821942
y239	0.36290861399999996
y240	0.011785086
y241	0.47440549200000004
y242	0.583108782
y243	0.5435233420000001
y244	0.001066721
y245	0.689047409
y246	0.181160469
y247	0.597499297
y248	0.389223218
y249	0.141623141
y250	0.054684363
y251	0.053268522
y252	0.033420215
y253	0.24165603
y254	0.44554845
y255	0.07308738299999999
y256	0.361833895
y257	0.034557931
y258	0.023496728999999997
y259	0.840393992
y260	0.38600394899999996
y261	0.001306615
y262	0.003289641
y263	0.8578200029999999
y264	0.017955617
y265	0.45337753799999997
y266	0.253120144
y267	0.006414653
y268	0.066398804
y269	0.8543154000000001
y270	0.04652533
y271	0.951975894
y272	0.40870563600000004
y273	0.06452723
y274	0.245275198
y275	0.258487348
y276	0.8178760490000001
y277	0.257397471
y278	0.09625373699999999
y279	0.903489168
y280	0.25120507
y281	0.139979459
y282	0.035637302999999995
y283	0.227521628
y284	0.22377629100000002
y285	0.75699138
y286	0.118003601
y287	0.149981684
y288	0.002333338
y289	0.102505971
y290	0.328888615
y291	0.7782975409999999
y292	0.07939622
y293	0.8151138859999999
y294	0.12441479800000001
y295	0.337218148
y296	0.047606098
y297	0.240158607
y298	0.031159758
y299	0.295590636
y300	0.205488863
y301	0.01378252
y302	0.612114907
