,Intercept,C(mvac)[T.True],C(csc)[T.True],C(mvac)[T.True]:C(csc)[T.True],collection_day,Intercept RE
y0,0.005479081724724211,0.7297225406098744,0.5072335524821754,0.6544858338738406,1.4960752756254505e-17,3.1152775114284385e-05
y1,0.7279126549242596,0.2063025649847453,0.17489515198146677,0.43187944233189557,0.020902748024029173,0.0003102367142869845
y2,0.0011937119653301648,0.49779335062954333,0.483156744291414,0.3191183094501737,0.0485830842049506,1.548145563930989e-05
y3,0.0007788663774035907,0.24662871266178277,0.14964740916993674,0.40645566165825586,0.05947302908738022,0.00016346993363583012
y4,2.2397250721837164e-16,0.04781213370421911,0.051635191566136766,0.5244856451209359,1.4358754828469699e-33,3.253439430563652e-05
y5,3.0959740938209272e-15,0.43509892479272083,0.5248530047826696,0.9710148350306876,1.9548509784730973e-05,0.00016477541760798027
y6,7.205307472746841e-28,0.6711481992675244,0.14762448406015724,0.16075947266699564,0.00039891083924437044,0.011269630824023975
y7,0.09816120647142373,0.5596159592407168,0.00020325775887071576,0.5482348775705668,6.168596072489043e-19,3.0547995854444336e-05
y8,4.827301314276096e-24,0.9637018030785391,0.4915805129781028,0.9093492761422618,8.731367282802457e-10,3.649252632031609e-05
y9,5.7197049639866335e-09,0.17906007309845395,0.9010903105604153,0.4531301025280786,0.6005148646262668,0.0008389487684803676
y10,9.457617951593192e-06,0.38478553526106596,0.06825617054475655,0.10481478926795627,0.1595634449590998,0.9998145761196301
y11,0.052259198292156375,0.8910202042668816,0.7376097047960771,0.7971224061498277,5.914785969824856e-10,1.407667272822894e-05
y12,0.24127895384492004,0.4121990253991741,0.8579080080492686,0.9539417486273347,9.846347708791374e-06,4.536286649170327e-05
y13,7.014268028918572e-17,0.5149180461791711,0.9877693763197111,0.3230748922491187,0.0549967598867433,0.0001946981402423124
y14,2.1084570110903763e-16,0.4177576099651109,0.10441590235070504,0.8178106824634818,7.079791961318311e-29,7.439805193044459e-05
y15,3.5469198683287184e-07,0.2485423391700078,0.9563539514995413,0.3688341881005873,2.3815528070482074e-09,0.0001257988288945622
y16,3.5437683703766676e-27,0.3619719211479864,0.8421160270975867,0.44429419744783427,2.5623577793919534e-08,0.0022878559635524584
y17,0.698906354593567,0.9155398512982185,2.030186092915736e-05,0.4131623841491443,2.3456922876673937e-23,1.6307080873447775e-05
y18,0.013828201868483691,0.9124611715943562,0.00551144705284786,0.6276047526102844,3.8082983756293744e-20,1.447214088907426e-05
y19,5.84130489595655e-14,0.21483660492373768,0.6619392359199798,0.43579061815894415,8.514947227696102e-05,0.0001633774093687658
y20,9.293583590842555e-09,0.7719309905181194,0.12940299944153227,0.9734381062478699,0.1300049861485404,9.689747232977386e-05
y21,2.842254799351806e-75,0.17407447418024014,0.5764767400180413,0.5080865949997827,0.005089768843464128,0.008617688550863844
y22,3.7996208006450124e-34,0.9464989148880656,0.1350504901363144,0.3251885527896007,0.17059518371337345,0.0028587445541472124
y23,1.894570107794616e-20,0.8210354008342686,0.055457766704620166,0.6908578961657342,4.63048316673201e-07,0.9997507829086113
y24,2.451640753124678e-12,0.9181971736245006,0.7596295418016823,0.5393685636703272,2.7923412253679427e-25,2.4419190319903542e-05
y25,3.2934340025483453e-07,0.956693929177026,0.3911857965773292,0.13950038031891251,0.018450284414325252,6.465781179632477e-05
y26,0.8348288204762572,0.9349158213296278,9.247947432325857e-05,0.012839599424169883,5.898635006997004e-13,1.0955045801172866e-05
